Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Poeta Augusto dos Anjos, 150 - Atalaia, Aracaju - SE",125,3,3,"
                  3
                ","
650000
"
"Rua Aline Santos França, 96 - Aruana, Aracaju - SE",200,2,1,"
                  2
                ","
220000
"
"Rua François Hoald, 0000 - Atalaia, Aracaju - SE",200,5,2,"
                  3
                ","
470000
"
"Rua Carlos Gomes, 1 - Inácio Barbosa, Aracaju - SE",340,4,4,"
                  2
                ","
570000
"
"Rua João Carvalho de Aragão, 1 - Atalaia, Aracaju - SE",140,4,4,"
                  4
                ","
550000
"
"Rua Manoel Espinheira Fonseca - Aruana, Aracaju - SE",165,3,3,"
                  3
                ","
950000
"
"Rua Rosalina, 323 - Farolândia, Aracaju - SE",169,3,3,"
                  2
                ","
620000
"
"Rua Armindo Guaraná, 5389 - Centro, Aracaju - SE",100,3,2,"
                  3
                ","
320134
"
"Zona de Expansao Mosqueiro, Aracaju - SE",300,6,5,"
                  10
                ","
850000
"
"Rua Alexandre Gusmão, 1 - Inácio Barbosa, Aracaju - SE",300,4,3,"
                  2
                ","
420000
"
"Rua José Francisco Matias, 199 - Mosqueiro, Aracaju - SE",110,3,2,"
                  4
                ","
330000
"
"Avenida Fábio José Cardoso Ramos - Aeroporto, Aracaju - SE",230,4,4,"
                  2
                ","
500004
"
"Rua Professor Miguel Rezende, 32 - Atalaia, Aracaju - SE",403,3,3,"
                  2
                ","
590000
"
"Rua Flodualdo Vieira Moura, 14 - Aruana, Aracaju - SE",200,3,2,"
                  2
                ","
300000
"
Nossa Senhora do Socorro - SE,78,3,1,"
                  1
                ","
150159
"
"Rua Pernambuco, 345 - Siqueira Campos, Aracaju - SE",280,2,1,"
                  1
                ","
490000
"
"Rua Major Corbiniano, 150 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
260000
"
"Rua Geraldo dos Santos Filho, 112 - Aruana, Aracaju - SE",200,4,3,"
                  3
                ","
320000
"
"Rua Marcolino Messias Ramos, 130 - Farolândia, Aracaju - SE",67,3,2,"
                  1
                ","
250000
"
"Rua Manoel Andrade - Coroa do Meio, Aracaju - SE",320,3,2,"
                  2
                ","
750000
"
"Rua José Jacob Dias Polito, 383 - Inácio Barbosa, Aracaju - SE",350,3,4,"
                  5
                ","
800000
"
"Rua A1, 02 - Mosqueiro, Aracaju - SE",250,3,2,"
                  5
                ","
320000
"
Itaporanga D'Ajuda - SE,100,3,2,"
                  5
                ","
250100
"
"Rua Geraldo dos Santos Filho - Aruana, Aracaju - SE",180,3,2,"
                  2
                ","
262000
"
"Rua das Bromélias - Aeroporto, Aracaju - SE",200,3,3,"
                  1
                ","
450200
"
"Rua M, 100 - Aruana, Aracaju - SE",200,2,2,"
                  2
                ","
205000
"
"Rua Mato Grosso, 1 - Siqueira Campos, Aracaju - SE",110,3,1,"
                  1
                ","
260000
"
"Avenida Luciano Monteiro Sobral - Luzia, Aracaju - SE",180,3,2,"
                  1
                ","
525187
"
"Avenida Delmiro Gouveia, 2390 - Coroa do Meio, Aracaju - SE",528,4,6,"
                  6
                ","
680000
"
"Rua Jornalista Evandro Barros, 333 - Luzia, Aracaju - SE",225,3,3,"
                  2
                ","
385000
"
"Avenida Carlos Burlamarqui, 421 - Centro, Aracaju - SE",160,6,2,"
                  1
                ","
250000
"
"Rua Sargento José Valença Santos Leite, 83 - Zona de Expansao Aruana, Aracaju - SE",600,3,3,"
                  8
                ","
650000
"
"Rua Promotor Arquibaldo Mendonça, 455 - Suíssa, Aracaju - SE",150,3,3,"
                  2
                ","
450000
"
"Rua K, 680 - Aruana, Aracaju - SE",435,4,4,"
                  6
                ","
750000
"
"Rua E, 01 - Aruana, Aracaju - SE",180,3,1,"
                  2
                ","
190000
"
"Rua A, 64 - Aruana, Aracaju - SE",160,3,2,"
                  2
                ","
470000
"
Nossa Senhora das Dores - SE,190,3,2,"
                  1
                ","
170166
"
"Rua Zózimo Lima, 6 - Suíssa, Aracaju - SE",140,3,3,"
                  10
                ","
480000
"
"Rua Doutor Lúcio Prado - Farolândia, Aracaju - SE",300,4,3,"
                  1
                ","
588186
"
"Avenida Inácio Barbosa, 356 - Zona de Expansao Mosqueiro, Aracaju - SE",1200,5,7,"
                  8
                ","
1300000
"
"Rua Everaldo Gonçalves da Silva, 279 - Aruana, Aracaju - SE",85,2,1,"
                  2
                ","
230000
"
"Rua D, 1 - Mosqueiro, Aracaju - SE",157,3,1,"
                  5
                ","
320000
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",180,3,1,"
                  2
                ","
660116
"
"Rua Campo do Brito, 1000 - São José, Aracaju - SE",400,3,5,"
                  4
                ","
750000
"
"Rua Accioly Porto - Jabotiana, Aracaju - SE",300,3,2,"
                  4
                ","
780151
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",125,3,3,"
                  2
                ","
540134
"
"Rua Nossa Senhora da Glória, 467 - Cidade Nova, Aracaju - SE",112,3,2,"
                  2
                ","
155000
"
"Rua Poeta Manuel Bandeira, 1 - Atalaia, Aracaju - SE",125,3,3,"
                  1
                ","
450000
"
"Rua Pedro Alcântara Braz, 17 - Aruana, Aracaju - SE",220,3,1,"
                  4
                ","
260000
"
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
350008
"
"Rua Arnaldo Pereira de Souza, 2 - Ponto Novo, Aracaju - SE",8000,2,1,"
                  1
                ","
230000
"
"Rua Amazonas, 00 - Siqueira Campos, Aracaju - SE",165,5,3,"
                  1
                ","
250000
"
"Rua General Valença, 293 - Cidade Nova, Aracaju - SE",10,3,2,"
                  --
                ","
140000
"
"Avenida Augusto Franco, 2000 - Siqueira Campos, Aracaju - SE",170,3,2,"
                  2
                ","
695000
"
"Rua Fenelon Santos, 386 - Salgado Filho, Aracaju - SE",420,6,5,"
                  4
                ","
1390000
"
"Rua Doutor Yolando Vieira de Melo, 248 - Atalaia, Aracaju - SE",227,3,2,"
                  2
                ","
450000
"
"Rua Arício Guimarães Fortes, 853 - Atalaia, Aracaju - SE",650,4,6,"
                  4
                ","
1700000
"
"São Conrado, Aracaju - SE",200,3,2,"
                  2
                ","
280000
"
"Avenida Silvério Leite Fontes - Aruana, Aracaju - SE",250,3,2,"
                  2
                ","
330000
"
"Rua Santo Agostinho, 52 - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
380000
"
"Avenida Conselheiro João Moreira Filho - Atalaia, Aracaju - SE",435,4,5,"
                  4
                ","
1280000
"
"Rua E, 32 - Zona de Expansao Aruana, Aracaju - SE",200,3,3,"
                  4
                ","
280000
"
"Rua Manoel Andrade, 2010 - Coroa do Meio, Aracaju - SE",250,3,3,"
                  8
                ","
750000
"
"Rua A - Robalo, Aracaju - SE",250,3,2,"
                  3
                ","
500000
"
"Rua Anatólio Garcia Moreno, 50 - Santo Antônio, Aracaju - SE",120,3,4,"
                  1
                ","
230000
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",300,4,5,"
                  4
                ","
1800077
"
