Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Avenida General Euclides Figueiredo, 226 - Porto Dantas, Aracaju - SE",53,2,1,"
                  --
                ","
90000
"
"Rua Volney Loureiro Tavares, 98 - Inácio Barbosa, Aracaju - SE",337,4,5,"
                  4
                ","
750000
"
"Rua Promotor Arquibaldo Mendonça, 301 - Suíssa, Aracaju - SE",230,3,3,"
                  2
                ","
1220000
"
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
650165
"
"Rua Construtor Genival Maciel, 150 - Atalaia, Aracaju - SE",330,4,4,"
                  2
                ","
800000
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100199
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100188
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100089
"
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
2100081
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100062
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100193
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100008
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100118
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100013
"
"Rua Poeta Manuel Bandeira, 0 - Atalaia, Aracaju - SE",125,3,1,"
                  1
                ","
459000
"
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
2100055
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
2100036
"
"Rua Doutor Canuto Garcia Moreno, 10 - Luzia, Aracaju - SE",150,3,1,"
                  2
                ","
370000
"
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
2100194
"
"Rua Antônio Souza Montes, 151 - São Conrado, Aracaju - SE",200,3,3,"
                  2
                ","
340000
"
"Travessa São José, 22 - Industrial, Aracaju - SE",86,3,1,"
                  1
                ","
220000
"
"Rua Valdomiro Ferreira Lima, 30 - Farolândia, Aracaju - SE",162,2,2,"
                  3
                ","
350000
"
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
580064
"
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
580034
"
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
580070
"
"Rua Soldado Luiz Rodrigues da Silva, 22 - São Conrado, Aracaju - SE",120,2,2,"
                  2
                ","
230000
"
"Rua Jordão de Oliveira, 623 - Atalaia, Aracaju - SE",105,2,2,"
                  1
                ","
310000
"
"Rua Pastor Martim Luther King, 250 - Atalaia, Aracaju - SE",435,4,7,"
                  4
                ","
1300000
"
"Rua E, 156 - Aeroporto, Aracaju - SE",150,3,3,"
                  3
                ","
330000
"
"Rua Osmundo Carvalho Leite, 62 - São Conrado, Aracaju - SE",152,3,3,"
                  3
                ","
420000
"
"Farolândia, Aracaju - SE",230,3,2,"
                  2
                ","
330000
"
"Santo Antônio, Aracaju - SE",295,3,4,"
                  5
                ","
449000
"
"Aruana, Aracaju - SE",200,3,5,"
                  2
                ","
650000
"
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
473597
"
Nossa Senhora do Socorro - SE,140,2,1,"
                  2
                ","
195123
"
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
473675
"
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
473596
"
"Rua Joventina Alves, 255 - Salgado Filho, Aracaju - SE",300,4,3,"
                  --
                ","
450000
"
"Rua das Bromélias - Aeroporto, Aracaju - SE",200,3,2,"
                  1
                ","
490112
"
"Rua Major Hunaldo dos Santos - Farolândia, Aracaju - SE",200,3,2,"
                  1
                ","
268177
"
"Rua Terêncio Sampaio, 01 - Grageru, Aracaju - SE",240,3,1,"
                  2
                ","
690000
"
Nossa Senhora das Dores - SE,500,3,2,"
                  3
                ","
330132
"
Nossa Senhora das Dores - SE,500,3,2,"
                  3
                ","
330013
"
"Rua Florianópolis, 1184 - Siqueira Campos, Aracaju - SE",300,6,4,"
                  1
                ","
400000
"
"Rua Lauro Azevedo de Souza, 78 - Bugio, Aracaju - SE",180,4,2,"
                  2
                ","
280000
"
"Rua Orlando Tavares Macedo - Aruana, Aracaju - SE",340,4,5,"
                  2
                ","
1200000
"
"Rua Niceu Dantas - Atalaia, Aracaju - SE",520,5,5,"
                  1
                ","
1100029
"
"Rua Anchieta, 100 - Bugio, Aracaju - SE",225,3,3,"
                  2
                ","
250000
"
"Rua Armando Fontes, 215 - Siqueira Campos, Aracaju - SE",162,3,3,"
                  2
                ","
280000
"
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,4,"
                  1
                ","
850189
"
"Rua Urbano Neto - Coroa do Meio, Aracaju - SE",140,3,1,"
                  3
                ","
700195
"
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
520171
"
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
520106
"
"Avenida Doutor Tarcísio Daniel dos Santos - Farolândia, Aracaju - SE",250,5,3,"
                  1
                ","
480057
"
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
520148
"
"Avenida Inácio Barbosa, 1438 - Aruana, Aracaju - SE",1000,5,6,"
                  15
                ","
1300000
"
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
350086
"
"Avenida Alexandre Alcino, 9 - Santa Maria, Aracaju - SE",13,2,1,"
                  1
                ","
135000
"
"Farolândia, Aracaju - SE",162,4,2,"
                  1
                ","
600000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480109
"
"Avenida Coelho e Campos, 10 - Centro, Aracaju - SE",210,5,2,"
                  3
                ","
350000
"
"Rua A, 52 - Porto Dantas, Aracaju - SE",130,2,2,"
                  1
                ","
200000
"
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
850196
"
Barra dos Coqueiros - SE,282,4,5,"
                  4
                ","
1550037
"
"Rua C, 134 - Dezoito do Forte, Aracaju - SE",180,3,2,"
                  2
                ","
155000
"
"Travessa Manoel Sandes, 36 - Getúlio Vargas, Aracaju - SE",10,3,3,"
                  5
                ","
350000
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",120,3,3,"
                  2
                ","
559092
"
"Avenida Maria Anamira Amado Batista Neta, 635 - Zona de Expansao Mosqueiro, Aracaju - SE",171,3,3,"
                  4
                ","
490033
"
"Avenida Paulo Figueredo Barreto - Lamarão, Aracaju - SE",200,3,2,"
                  1
                ","
135000
"
"Ponto Novo, Aracaju - SE",120,2,2,"
                  1
                ","
275000
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",171,3,3,"
                  4
                ","
550100
"
"Rodovia dos Náufragos, 12320 - Zona de Expansao Areia Branca, Aracaju - SE",200,3,2,"
                  2
                ","
445000
"
"Santa Maria, Aracaju - SE",126,3,1,"
                  2
                ","
280000
"
"Avenida Inácio Barbosa, 105 - Zona de Expansao Mosqueiro, Aracaju - SE",130,4,3,"
                  2
                ","
545000
"
"Rua Manoel Romão da Silva, 10 - Jabotiana, Aracaju - SE",160,2,2,"
                  1
                ","
225000
"
"Rua Promotor Arquibaldo Mendonça - Suíssa, Aracaju - SE",311,4,5,"
                  4
                ","
1100000
"
"Rua Antônio Leite Guimarães - Farolândia, Aracaju - SE",144,3,3,"
                  1
                ","
290035
"
"Rua Jordão de Oliveira, 1278 - Atalaia, Aracaju - SE",350,5,3,"
                  4
                ","
1200000
"
"Suíssa, Aracaju - SE",300,3,2,"
                  2
                ","
410000
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
380064
"
"Avenida Augusto Maynard, 604 - São José, Aracaju - SE",187,5,4,"
                  2
                ","
850000
"
"Avenida Melício Machado - Aeroporto, Aracaju - SE",250,4,3,"
                  3
                ","
780028
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
380029
"
"Aeroporto, Aracaju - SE",210,4,6,"
                  2
                ","
470000
"
"Rua João Batista Freire, 1000 - Jabutiana, Aracaju - SE",488,6,8,"
                  5
                ","
450000
"
"Rua H - Aruana, Aracaju - SE",132,3,2,"
                  2
                ","
390113
"
"Aruana, Aracaju - SE",180,3,2,"
                  2
                ","
370029
"
"Rua Engenheiro Fook Mau, 0186 - Farolândia, Aracaju - SE",135,3,2,"
                  2
                ","
500000
"
"Rua Joaquim Soares Bezerra, 21 - Farolândia, Aracaju - SE",206,3,2,"
                  2
                ","
400000
"
"Travessa Fonte Grande - Industrial, Aracaju - SE",68,1,1,"
                  --
                ","
115072
"
"Avenida Alan Kardec, 500 - Cirurgia, Aracaju - SE",280,6,6,"
                  2
                ","
500000
"
"Rua Seis - Soledade, Aracaju - SE",100,3,3,"
                  1
                ","
250162
"
"Rua Napoleão Teles de Oliveira, 55 - Luzia, Aracaju - SE",260,5,1,"
                  2
                ","
500000
"
"Avenida Desembargador Maynard, 909 - Suíssa, Aracaju - SE",360,3,3,"
                  10
                ","
400000
"
"Avenida Desembargador José Antonio de Andrade Goes, 0 - Coroa do Meio, Aracaju - SE",195,4,1,"
                  --
                ","
730000
"
"Suíssa, Aracaju - SE",260,6,6,"
                  3
                ","
550000
"
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
520090
"
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
520161
"
"Rua M, 752 - Aruana, Aracaju - SE",180,3,1,"
                  2
                ","
999000
"
"Rua Igor de Faro Franco, 120 - Atalaia, Aracaju - SE",74,3,2,"
                  1
                ","
250000
"
Barra dos Coqueiros - SE,93,3,2,"
                  2
                ","
300193
"
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
650083
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
2000061
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",233,3,5,"
                  4
                ","
969001
"
"Avenida Murilo Dantas, 658 - Farolândia, Aracaju - SE",80,3,2,"
                  1
                ","
360000
"
"Avenida Hermes Fontes - Suíssa, Aracaju - SE",150,3,2,"
                  2
                ","
414036
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
2000053
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
2000074
"
"Santo Antônio, Aracaju - SE",150,3,2,"
                  2
                ","
300000
"
"Rua Fenelon Santos, 155 - Salgado Filho, Aracaju - SE",335,6,3,"
                  4
                ","
750000
"
"Rua João Mota dos Santos - Robalo, Aracaju - SE",200,3,4,"
                  2
                ","
1050133
"
"Travessa Jadiel Benevides, 53 - Suíssa, Aracaju - SE",220,5,6,"
                  6
                ","
480000
"
"Rua Doutor Yolando Vieira de Melo - Atalaia, Aracaju - SE",148,3,2,"
                  2
                ","
450104
"
"Rua Padre Nestor Sampaio, 345 - Ponto Novo, Aracaju - SE",300,3,3,"
                  4
                ","
780000
"
"Rua Três - Aruana, Aracaju - SE",280,3,5,"
                  4
                ","
1750167
"
"Rua Vereador Antônio Sinval Machado, 0 - São Conrado, Aracaju - SE",150,3,2,"
                  1
                ","
300000
"
"Rua Wilson Barbosa de Melo, 23 - Atalaia, Aracaju - SE",260,5,5,"
                  5
                ","
740000
"
"Avenida Doutor José Calumby, 280 - Suíssa, Aracaju - SE",60,2,1,"
                  2
                ","
220000
"
"Rua Jordão de Oliveira, 729 - Atalaia, Aracaju - SE",240,3,4,"
                  3
                ","
680000
"
"Avenida Desembargador José Antonio de Andrade Goes, 0 - Coroa do Meio, Aracaju - SE",200,3,1,"
                  --
                ","
750000
"
"Rua dos Estudantes - Getúlio Vargas, Aracaju - SE",320,4,4,"
                  3
                ","
500000
"
"Rua Estância, 2203 - Cirurgia, Aracaju - SE",270,4,5,"
                  2
                ","
580000
"
"Rua Agenor Machado de Freitas, 0 - Farolândia, Aracaju - SE",400,5,2,"
                  --
                ","
1200000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480019
"
"Rua Comandante Miranda, 99880 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
250023
"
"Avenida José Conrado de Araújo, 423 - Industrial, Aracaju - SE",132,3,1,"
                  --
                ","
195000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480094
"
"Atalaia, Aracaju - SE",90,3,2,"
                  --
                ","
475000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480162
"
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
850001
"
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
850009
"
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
850197
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480082
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480035
"
"Rua da Concórdia, 10 - Atalaia, Aracaju - SE",365,3,5,"
                  4
                ","
1500000
"
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
2100004
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480020
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480069
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480065
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480042
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480061
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480091
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480123
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480191
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480129
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480102
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480143
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480112
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480097
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480043
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480100
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480112
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480133
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480028
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480011
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480010
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480071
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480144
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480065
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480037
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480044
"
"Atalaia, Aracaju - SE",400,5,4,"
                  40
                ","
1000000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480037
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480005
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480189
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480131
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480108
"
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
350079
"
"Rua Antônio José de Souza, 61 - Luzia, Aracaju - SE",275,4,3,"
                  2
                ","
500000
"
"Avenida Central, 170 - Olaria, Aracaju - SE",50,2,1,"
                  2
                ","
160000
"
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
500175
"
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
500127
"
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
500192
"
"Aruana, Aracaju - SE",200,3,2,"
                  2
                ","
330000
"
"Rua Doutor Bezerra de Menezes, 1010 - Coroa do Meio, Aracaju - SE",270,2,3,"
                  1
                ","
350000
"
"Avenida Presidente Tancredo Neves, 70 - Jabotiana, Aracaju - SE",140,3,2,"
                  1
                ","
280000
"
"Rua Mato Grosso, 1 - Siqueira Campos, Aracaju - SE",110,3,2,"
                  1
                ","
260000
"
"Rua Zaqueu Brandão, 736 - São José, Aracaju - SE",140,3,2,"
                  1
                ","
380000
"
"Rua João Melo, 0 - Luzia, Aracaju - SE",120,2,4,"
                  2
                ","
325000
"
"Rua João Carvalho de Aragão, 272 - Atalaia, Aracaju - SE",140,4,3,"
                  4
                ","
580000
"
"Rua Sônia Alves Lopes, 2492 - Coroa do Meio, Aracaju - SE",190,3,4,"
                  3
                ","
694900
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",120,3,3,"
                  2
                ","
520045
"
"Coroa do Meio, Aracaju - SE",195,4,3,"
                  5
                ","
650000
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",120,3,3,"
                  2
                ","
520021
"
"Rua Doutor Yolando Vieira de Melo - Atalaia, Aracaju - SE",250,4,3,"
                  4
                ","
350000
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489138
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559140
"
"Rua Padre Nestor Sampaio, 307 - Luzia, Aracaju - SE",300,4,3,"
                  4
                ","
790000
"
"Rua Cabo Costa - Santo Antônio, Aracaju - SE",300,4,5,"
                  2
                ","
430000
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559123
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559062
"
"Rua dos Estudantes - Getúlio Vargas, Aracaju - SE",230,5,5,"
                  4
                ","
540005
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559085
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559025
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",250,3,3,"
                  2
                ","
559157
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489135
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489122
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489141
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489191
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489008
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489019
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489078
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489168
"
"Rua das Bromélias - Aeroporto, Aracaju - SE",200,3,2,"
                  1
                ","
490031
"
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
650099
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489148
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489121
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489094
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489067
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489151
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489181
"
"Rua H - Aruana, Aracaju - SE",115,3,2,"
                  2
                ","
489138
"
"Rua Doutor Bezerra de Menezes, 0 - Atalaia, Aracaju - SE",350,4,4,"
                  6
                ","
950000
"
"Rua Fábio Souza Santos, 491 - Dezoito do Forte, Aracaju - SE",20,2,1,"
                  1
                ","
135000
"
Nossa Senhora das Dores - SE,190,3,2,"
                  1
                ","
170115
"
"Rua Carlos Gomes, 53 - Inácio Barbosa, Aracaju - SE",280,4,3,"
                  --
                ","
569000
"
"Rua Ecologista Chico Mendes - Farolândia, Aracaju - SE",360,5,5,"
                  2
                ","
840093
"
"Rua Heriberto Rezende Gois, 1169 - Coroa do Meio, Aracaju - SE",490,4,2,"
                  4
                ","
537000
"
"Rua Dezessete, 9 - Santa Maria, Aracaju - SE",47,2,1,"
                  1
                ","
65000
"
"Rua Doutor José Roberto Ribeiro, 170 - Grageru, Aracaju - SE",302,6,3,"
                  3
                ","
620000
"
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1,"
                  --
                ","
250000
"
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",351,4,5,"
                  3
                ","
2500105
"
"Travessa Parapitinga, 93 - Ponto Novo, Aracaju - SE",80,2,1,"
                  --
                ","
255000
"
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1,"
                  --
                ","
180000
"
"Rua Guilherme José Martins, 841 - Novo Paraíso, Aracaju - SE",60,2,1,"
                  --
                ","
115000
"
Nossa Senhora do Socorro - SE,162,2,1,"
                  2
                ","
140022
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",110,3,3,"
                  2
                ","
520085
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",110,3,3,"
                  2
                ","
520014
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",110,3,3,"
                  2
                ","
520010
"
"Rua Maria Cécilia dos Santos - Farolândia, Aracaju - SE",110,3,3,"
                  2
                ","
520149
"
"Rua Promotor Arquibaldo Mendonça, 301 - Suíssa, Aracaju - SE",160,3,3,"
                  2
                ","
820000
"
"Rua José Luciano Cruz, 01 - Santa Maria, Aracaju - SE",80,4,2,"
                  1
                ","
100000
"
"Rua Alceu Amoroso Lima, 2000 - Aeroporto, Aracaju - SE",176,4,5,"
                  2
                ","
470000
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",120,3,3,"
                  2
                ","
559076
"
"Rua José Araújo Neto, 62 - São Conrado, Aracaju - SE",10,3,2,"
                  1
                ","
250000
"
"Rua Praia de Atalaia Nova, 1000 - Aruana, Aracaju - SE",250,2,1,"
                  2
                ","
220000
"
"Rua Lauro Azevedo de Souza, 78 - Bugio, Aracaju - SE",171,3,1,"
                  2
                ","
275000
"
"Rua Paulo Silvio Bastos, 154 - Atalaia, Aracaju - SE",282,3,4,"
                  3
                ","
850000
"
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",282,4,5,"
                  4
                ","
1550114
"
"Rua Maruim - Centro, Aracaju - SE",330,2,5,"
                  --
                ","
680121
"
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
650014
"
"Rua Lago Azul, 0 - Areia Branca, Aracaju - SE",200,4,3,"
                  5
                ","
1013250
"
"Rua Quarenta e Oito, 03 - São Conrado, Aracaju - SE",144,3,2,"
                  2
                ","
300000
"
Nossa Senhora das Dores - SE,190,3,2,"
                  1
                ","
170192
"
"Rua Três - Aruana, Aracaju - SE",99,3,2,"
                  2
                ","
520074
"
"Avenida General Euclides Figueiredo, 576 - Santos Dumont, Aracaju - SE",60,2,1,"
                  --
                ","
130000
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",200,3,2,"
                  2
                ","
890012
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",198,3,3,"
                  2
                ","
890130
"
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",171,3,3,"
                  4
                ","
550089
"
"Rua Moreira Guimarães - Dezoito do Forte, Aracaju - SE",175,3,2,"
                  1
                ","
250000
"
"Rua Estância, 333 - Cirurgia, Aracaju - SE",300,5,2,"
                  2
                ","
500000
"
"Rua Padre Nestor Sampaio, 307 - Luzia, Aracaju - SE",300,4,3,"
                  4
                ","
790000
"
"Rua Ex-Combatente João Pereira dos Santos, 124 - Zona de Expansao Aruana, Aracaju - SE",80,3,1,"
                  2
                ","
235000
"
"Rua Professora Nair Siqueira de Menezes Costa, 456 - Zona de Expansao Robalo, Aracaju - SE",418,3,4,"
                  2
                ","
975000
"
"Aruana, Aracaju - SE",180,3,2,"
                  2
                ","
370020
"
"Rua Sargento Nezinho, 93 - Dezoito do Forte, Aracaju - SE",105,3,2,"
                  2
                ","
180000
"
"Avenida Inácio Barbosa - Zona de Expansao Mosqueiro, Aracaju - SE",750,5,5,"
                  4
                ","
1600121
"
"Rua Dezoito do Forte, 1 - Dezoito do Forte, Aracaju - SE",90,2,1,"
                  1
                ","
170000
"
"Rua Praia de Atalaia, 730 - Aruana, Aracaju - SE",120,3,2,"
                  2
                ","
490000
"
"Rua Gararu, 338 - Getúlio Vargas, Aracaju - SE",120,3,2,"
                  2
                ","
310000
"
"Rua Pureza Bonfim, 64 - Santos Dumont, Aracaju - SE",10,2,2,"
                  1
                ","
250000
"
"Rua Frei José de Santa Cecília, 104 - Siqueira Campos, Aracaju - SE",130,3,2,"
                  1
                ","
330000
"
"Rua Seis - Soledade, Aracaju - SE",100,3,3,"
                  1
                ","
250105
"
Barra dos Coqueiros - SE,396,4,1,"
                  2
                ","
1450008
"
"Rua Antônio Oliva Paiva, 188 - Atalaia, Aracaju - SE",290,3,3,"
                  2
                ","
420000
"
"Rua Doutor José Roberto Ribeiro, 62 - Grageru, Aracaju - SE",123,3,2,"
                  2
                ","
450000
"
"Rua Seis - Soledade, Aracaju - SE",100,3,3,"
                  1
                ","
250100
"
"Cidade Nova, Aracaju - SE",300,3,3,"
                  1
                ","
280000
"
"Aruana, Aracaju - SE",200,4,4,"
                  2
                ","
490023
"
"Cirurgia, Aracaju - SE",310,3,3,"
                  2
                ","
550000
"
"Rua Ecologista Chico Mendes - Farolândia, Aracaju - SE",360,5,5,"
                  2
                ","
840111
"
"Atalaia, Aracaju - SE",280,4,4,"
                  5
                ","
740000
"
"Avenida Fábio José Cardoso Ramos - Aeroporto, Aracaju - SE",230,4,4,"
                  2
                ","
500149
"
Nossa Senhora do Socorro - SE,60,2,1,"
                  1
                ","
170126
"
"Rua Major Corbiniano, 66579 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
250037
"
"Rua Praia de Atalaia, 1 - Aruana, Aracaju - SE",1155,4,4,"
                  6
                ","
1600000
"
"Avenida Inácio Barbosa - Zona de Expansao Mosqueiro, Aracaju - SE",750,5,5,"
                  4
                ","
1600087
"
